gvkey,conm,tic,exchg,cusip,fic,sic,costat,fyear,fyr,datadate,at,lt,sale,ebitda,ppent,dp,che,dvc,ni,dltt,dlc
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,2001,5,2002-05-31,2526.792,576.587,1477.932,-112.44,676.154,266.82,1382.555,0.0,-595.95,68.404,101.354
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,2002,5,2003-05-31,2062.36,343.763,932.866,106.948,248.79,162.523,1484.842,0.0,-283.754,0.0,0.346
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,2003,5,2004-05-31,1820.818,321.704,698.884,-66.384,72.452,111.714,1383.356,0.0,-349.263,0.0,0.0
010553,3COM CORP,COMS.,14,885535104,USA,3576,I,2004,5,2005-05-31,1592.967,318.044,651.244,-119.522,69.535,53.256,844.236,0.0,-195.686,0.0,0.0
010564,TIDELANDS ROYALTY TRUST B,TIRTZ,19,886410109,USA,6792,I,2000,12,2000-12-31,1.688,0.433,1.58,1.487,0.0,0.0,1.339,1.213,1.532,0.0,0.0
010564,TIDELANDS ROYALTY TRUST B,TIRTZ,19,886410109,USA,6792,I,2001,12,2001-12-31,1.299,0.284,1.166,1.058,0.0,0.0,1.166,1.332,1.092,0.0,0.0
010564,TIDELANDS ROYALTY TRUST B,TIRTZ,19,886410109,USA,6792,I,2002,12,2002-12-31,1.533,0.307,1.011,0.852,0.0,0.0,0.52,0.668,0.879,0.0,0.0
010564,TIDELANDS ROYALTY TRUST B,TIRTZ,19,886410109,USA,6792,I,2003,12,2003-12-31,1.489,0.341,1.365,1.255,0.0,0.0,0.606,1.349,1.271,0.0,0.0
010564,TIDELANDS ROYALTY TRUST B,TIRTZ,19,886410109,USA,6792,I,2004,12,2004-12-31,1.804,0.345,1.376,1.257,0.0,0.0,1.207,0.954,1.264,0.0,0.0
010564,TIDELANDS ROYALTY TRUST B,TIRTZ,19,886410109,USA,6792,I,2005,12,2005-12-31,1.797,0.76,2.363,2.222,0.0,0.0,1.662,2.663,2.241,0.0,0.0
010565,TIDEWATER INC,TDW.1,11,886423102,USA,4400,A,1999,3,2000-03-31,1432.336,318.135,574.815,149.141,556.031,82.502,226.91,33.37,76.59,0.0,0.0
010565,TIDEWATER INC,TDW.1,11,886423102,USA,4400,A,2000,3,2001-03-31,1505.492,327.152,616.679,161.894,771.676,79.527,95.153,33.481,86.143,0.0,0.0
010565,TIDEWATER INC,TDW.1,11,886423102,USA,4400,A,2001,3,2002-03-31,1669.37,382.034,729.029,270.07,998.411,78.132,11.882,33.656,136.159,54.0,0.0
010565,TIDEWATER INC,TDW.1,11,886423102,USA,4400,A,2002,3,2003-03-31,1849.578,496.888,635.823,200.606,1165.921,83.153,17.767,33.88,88.63,139.0,0.0
010565,TIDEWATER INC,TDW.1,11,886423102,USA,4400,A,2003,3,2004-03-31,2081.79,714.398,652.63,168.915,1342.494,98.51,17.636,34.008,41.662,339.158,0.0
010565,TIDEWATER INC,TDW.1,11,886423102,USA,4400,A,2004,3,2005-03-31,2213.173,769.275,692.15,187.402,1452.186,99.613,15.376,34.286,101.339,380.0,0.0
010567,SIX FLAGS ENTERTAINMENT -OLD,3SIXFQ,13,83001P109,USA,7996,I,2000,12,2000-12-31,4191.339,2646.352,1006.981,356.705,2257.9,179.989,55.751,0.0,-51.959,2319.912,2.401
